Region,Age group,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
West,Less than 25 years,20.9,20.1,20.0,20.3,19.7,20.4
West,25 to 29 years,28.6,28.8,28.1,27.8,26.0,27.0
West,30 to 34 years,40.8,40.6,39.9,39.0,40.9,40.7
West,35 to 39 years,49.8,48.7,49.4,50.1,48.9,51.2
West,40 to 44 years,57.4,58.2,57.9,56.2,57.0,56.7
West,45 to 49 years,64.2,63.7,62.0,61.4,59.7,61.9
West,50 to 54 years,67.6,66.0,68.5,66.6,66.0,66.6
West,55 to 59 years,72.7,71.4,71.1,70.3,69.6,68.8
West,60 to 64 years,75.0,74.6,74.0,73.0,72.7,73.4
West,65 to 69 years,78.7,75.9,76.1,76.1,75.9,75.8
West,70 to 74 years,80.2,78.5,78.9,77.5,78.9,78.6
West,75 years and over,76.6,77.2,75.0,74.7,75.1,75.4
Midwest,Less than 25 years,21.1,20.1,21.3,21.5,23.1,22.9
Midwest,25 to 29 years,41,41.5,39,38.2,38.5,39.7
Midwest,30 to 34 years,55.4,57.9,57.6,56,53.6,55.1
Midwest,35 to 39 years,62.4,63.4,62.7,63.3,63.4,64.8
Midwest,40 to 44 years,72.5,70.7,70.8,67.5,68.7,68
Midwest,45 to 49 years,75.5,75.4,74.8,73.7,73.1,72.4
Midwest,50 to 54 years,77.4,77.6,76.5,76.9,77.6,74.5
Midwest,55 to 59 years,79.8,79.2,77.9,78.1,77.6,77.3
Midwest,60 to 64 years,81.1,79.6,81,80.1,79.9,80.6
Midwest,65 to 69 years,84.3,83.6,82.7,81.6,81.2,82.4
Midwest,70 to 74 years,85.7,86.9,84.4,84.7,84.7,84
Midwest,75 years and over,79.9,79.7,78.4,77.3,77.6,76.3
Northeast,Less than 25 years,21.7,22.8,21.5,22.3,18.3,21.6
Northeast,25 to 29 years,29.7,30,27.7,24.9,25.8,26.7
Northeast,30 to 34 years,44.2,42.1,41.8,39.9,40,40.7
Northeast,35 to 39 years,55.7,53.9,53.6,51,50,50.8
Northeast,40 to 44 years,64.2,64.4,60.9,58.9,58,59.5
Northeast,45 to 49 years,67.9,67.8,68.5,66.6,64.8,64.4
Northeast,50 to 54 years,71.8,71.1,70.9,69.9,69.2,67.4
Northeast,55 to 59 years,73.7,72.9,72.7,72.5,71.9,70.4
Northeast,60 to 64 years,74.7,74.6,73.5,73.4,73.2,73.4
Northeast,65 to 69 years,75,75.7,74.9,73.7,73.6,73.5
Northeast,70 to 74 years,77.5,75.2,75.7,76.2,76.2,75.1
Northeast,75 years and over,73.9,73.6,72.9,70,68.5,69.8
South,Less than 25 years,22.6,24.3,23.1,22.7,23.8,24
South,25 to 29 years,35.7,34.7,34,33.1,31.5,32.7
South,30 to 34 years,49.5,49.8,47.7,47,45.8,45.8
South,35 to 39 years,58.9,56.6,57.4,56,56.9,57.2
South,40 to 44 years,67,66.1,63.2,62.8,63.1,62.6
South,45 to 49 years,70.8,70.5,68.6,69.3,68.3,69.4
South,50 to 54 years,75.2,74.4,73.7,72.8,72.7,73.5
South,55 to 59 years,77.3,77.6,78,76.3,75.4,76.4
South,60 to 64 years,81.3,79.6,78.6,77.2,77.3,78.4
South,65 to 69 years,83.8,83.7,83.8,82.4,82.2,81.8
South,70 to 74 years,87,86.3,84.4,83.9,84.2,84.6
South,75 years and over,85.4,85.4,84.2,82.7,82.2,81.8